Series Name,"Country Name","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Population ages 00-04, female","Afghanistan","2048694","2047749","2137462","2247745","2298803","2345150","2403302","2406204","2417553","2470652","2510830","2577062","2661042","2732601","2811655","2876891","2923569","2978658","3037769","3098763","3166634","3210286","3221673","3255581","3315884"
"Population ages 00-04, female","Albania","137753","131870","125151","118436","112004","105337","99039","93862","89595","86087","83690","82461","82382","83261","84437","85099","84972","83813","81358","78146","75077","72399","70027","68225","66469"
"Population ages 00-04, female","Algeria","1475827","1444718","1423682","1425381","1452255","1492061","1546774","1621327","1711674","1807024","1900992","1989998","2077590","2160193","2237858","2313222","2379652","2429967","2459931","2468709","2456439","2426816","2381320","2327376","2268358"
"Population ages 00-04, female","American Samoa","3786","3723","3636","3535","3438","3341","3255","3200","3175","3183","3162","3069","2938","2796","2653","2532","2448","2391","2353","2335","2273","2154","2035","1912","1767"
"Population ages 00-04, female","Andorra","1638","1643","1648","1693","1760","1806","1805","1781","1774","1783","1821","1844","1838","1798","1727","1637","1573","1530","1411","1318","1271","1186","1137","1154","1210"
"Population ages 00-04, female","Angola","1483558","1530440","1582152","1639603","1703259","1771599","1843620","1918735","1996488","2076160","2156889","2237766","2318552","2398729","2476801","2551721","2623751","2692999","2759624","2824650","2889519","2955648","3021647","3086077","3149945"
"Population ages 00-04, female","Antigua and Barbuda","3489","3463","3394","3329","3290","3217","3134","3102","3131","3201","3238","3234","3203","3098","2944","2835","2754","2681","2625","2586","2574","2590","2620","2662","2704"
"Population ages 00-04, female","Argentina","1722075","1716553","1713049","1710142","1705613","1702642","1703763","1706749","1717640","1735390","1753338","1772669","1787444","1794590","1804726","1816278","1815652","1807237","1787546","1736679","1645309","1539678","1437513","1341640","1269938"
"Population ages 00-04, female","Armenia","100433","94935","89090","86640","86368","87441","89740","92647","95278","97691","100102","101973","103419","104503","104715","103922","102243","99556","96216","93359","91407","89855","88267","86386","86910"
"Population ages 00-04, female","Aruba","3460","3366","3248","3143","3073","3094","3168","3209","3238","3251","3194","3131","3127","3142","3159","3191","3214","3186","3127","3041","2906","2763","2653","2578","2536"
